 SOUID,    DATE,   TG, Q_TG
102254,19510101,  -24,    0
102254,19510102,  -22,    0
102254,19510103,   -7,    0
102254,19510104,    9,    0
102254,19510105,   21,    0
102254,19510106,   28,    0
102254,19510107,   52,    0
102254,19510108,   41,    0
102254,19510109,   40,    0
102254,19510110,   20,    0
102254,19510111,   61,    0
102254,19510112,   64,    0
102254,19510113,   34,    0
102254,19510114,   41,    0
102254,19510115,   30,    0
102254,19510116,   22,    0
102254,19510117,   30,    0
102254,19510118,   48,    0
102254,19510119,   40,    0
102254,19510120,   31,    0
102254,19510121,  -18,    0
102254,19510122,    8,    0
102254,19510123,   25,    0
102254,19510124,    6,    0
102254,19510125,  -40,    0
102254,19510126,  -42,    0
102254,19510127,   -2,    0
102254,19510128,  -10,    0
102254,19510129,  -12,    0
102254,19510130,  -31,    0
102254,19510131,  -31,    0
102254,19510201,  -15,    0
102254,19510202,  -22,    0
102254,19510203,  -55,    0
102254,19510204,  -14,    0
102254,19510205,    9,    0
102254,19510206,   14,    0
102254,19510207,   22,    0
102254,19510208,   27,    0
102254,19510209,   45,    0
102254,19510210,   33,    0
102254,19510211,   32,    0
102254,19510212,   50,    0
102254,19510213,   16,    0
102254,19510214,    4,    0
102254,19510215,    7,    0
102254,19510216,   14,    0
102254,19510217,   47,    0
102254,19510218,   36,    0
102254,19510219,   34,    0
102254,19510220,   45,    0
102254,19510221,   50,    0
102254,19510222,   25,    0
102254,19510223,   27,    0
102254,19510224,   29,    0
102254,19510225,   22,    0
102254,19510226,    6,    0
102254,19510227,    5,    0
102254,19510228,   -6,    0
102254,19510301,   -1,    0
102254,19510302,  -22,    0
102254,19510303,  -19,    0
102254,19510304,  -22,    0
102254,19510305,  -24,    0
102254,19510306,  -11,    0
102254,19510307,    2,    0
102254,19510308,  -10,    0
102254,19510309,  -21,    0
102254,19510310,  -23,    0
102254,19510311,    8,    0
102254,19510312,   43,    0
102254,19510313,   67,    0
102254,19510314,   77,    0
102254,19510315,   65,    0
102254,19510316,   44,    0
102254,19510317,   98,    0
102254,19510318,   90,    0
102254,19510319,   39,    0
102254,19510320,    7,    0
102254,19510321,   11,    0
102254,19510322,   36,    0
102254,19510323,   87,    0
102254,19510324,   39,    0
102254,19510325,    6,    0
102254,19510326,   12,    0
102254,19510327,   36,    0
102254,19510328,   20,    0
102254,19510329,   22,    0
102254,19510330,   44,    0
102254,19510331,   51,    0
102254,19510401,   63,    0
102254,19510402,   65,    0
102254,19510403,   56,    0
102254,19510404,   78,    0
102254,19510405,   77,    0
102254,19510406,   94,    0
102254,19510407,  124,    0
102254,19510408,   71,    0
102254,19510409,   90,    0
